2026-01-17 13:50:29.121 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:22 - Extracted 47 defects.
2026-01-17 13:59:49.544 | INFO     | app.services.ingest.service:parse_excel:13 - Parsing Excel file: uploads\2e7b89a1-ddee-4df5-8c59-a515fa9bd268_测试数据.xlsx
2026-01-17 13:59:49.757 | INFO     | app.services.ingest.service:_align_columns_with_llm:123 - Aligning columns for sheet Sheet1 with LLM...
2026-01-17 13:59:51.187 | INFO     | app.services.ingest.service:_align_columns_with_llm:131 - Column mapping received: {'测试用例编号': 'case_name', '模块名称': 'remark', '用例说明': 'case_name', '执行步骤': 'steps', '新加成功执行步骤': 'steps', '输入数据': 'precondition', '测试结果': 'test_result'}
2026-01-17 13:59:51.188 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for case_name: 测试用例编号 vs 用例说明. Keeping 测试用例编号
2026-01-17 13:59:51.188 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for steps: 执行步骤 vs 新加成功执行步骤. Keeping 执行步骤
2026-01-17 13:59:51.189 | INFO     | app.services.ingest.service:_normalize_results_with_llm:192 - Normalizing results with LLM for values: ['成功', '失败', '跳过', '阻塞']
2026-01-17 13:59:51.933 | INFO     | app.services.ingest.service:_normalize_results_with_llm:198 - Result mapping received: {'成功': 'Pass', '失败': 'Fail', '跳过': 'Skipped', '阻塞': 'Blocked'}
2026-01-17 13:59:51.939 | INFO     | app.services.ingest.service:parse_excel:37 - Parsed 107 cases from uploads\2e7b89a1-ddee-4df5-8c59-a515fa9bd268_测试数据.xlsx
2026-01-17 13:59:51.947 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:16 - Starting concurrent module tagging for 107 cases...
2026-01-17 13:59:56.278 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:24 - Module tagging completed.
2026-01-17 13:59:56.614 | INFO     | app.services.audit.auditor:audit_cases_concurrently:20 - Starting concurrent result audit for 59 passed cases...
2026-01-17 14:00:14.126 | INFO     | app.services.audit.auditor:audit_cases_concurrently:28 - Result audit completed.
2026-01-17 14:00:14.127 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:15 - Extracting defects for 47 cases concurrently...
2026-01-17 14:00:23.258 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:22 - Extracted 47 defects.
2026-01-17 14:16:40.776 | INFO     | app.services.ingest.service:parse_excel:13 - Parsing Excel file: uploads\91acffdf-6620-48eb-917f-9177347b395c_测试数据.xlsx
2026-01-17 14:16:40.995 | INFO     | app.services.ingest.service:_align_columns_with_llm:123 - Aligning columns for sheet Sheet1 with LLM...
2026-01-17 14:16:42.930 | INFO     | app.services.ingest.service:_align_columns_with_llm:131 - Column mapping received: {'测试用例编号': 'case_name', '模块名称': 'remark', '用例说明': 'case_name', '执行步骤': 'steps', '新加成功执行步骤': 'steps', '输入数据': 'precondition', '测试结果': 'test_result'}
2026-01-17 14:16:42.930 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for case_name: 测试用例编号 vs 用例说明. Keeping 测试用例编号
2026-01-17 14:16:42.931 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for steps: 执行步骤 vs 新加成功执行步骤. Keeping 执行步骤
2026-01-17 14:16:42.931 | INFO     | app.services.ingest.service:_normalize_results_with_llm:192 - Normalizing results with LLM for values: ['成功', '失败', '跳过', '阻塞']
2026-01-17 14:16:43.680 | INFO     | app.services.ingest.service:_normalize_results_with_llm:198 - Result mapping received: {'成功': 'Pass', '失败': 'Fail', '跳过': 'Skipped', '阻塞': 'Blocked'}
2026-01-17 14:16:43.685 | INFO     | app.services.ingest.service:parse_excel:37 - Parsed 107 cases from uploads\91acffdf-6620-48eb-917f-9177347b395c_测试数据.xlsx
2026-01-17 14:16:43.694 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:16 - Starting concurrent module tagging for 107 cases...
2026-01-17 14:16:46.863 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:24 - Module tagging completed.
2026-01-17 14:16:47.197 | INFO     | app.services.audit.auditor:audit_cases_concurrently:20 - Starting concurrent result audit for 59 passed cases...
2026-01-17 14:16:56.221 | INFO     | app.services.audit.auditor:audit_cases_concurrently:28 - Result audit completed.
2026-01-17 14:16:56.222 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:15 - Extracting defects for 47 cases concurrently...
2026-01-17 14:17:06.179 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:22 - Extracted 47 defects.
2026-01-17 14:27:59.393 | INFO     | app.services.ingest.service:parse_excel:13 - Parsing Excel file: uploads\05b28105-494e-4ed5-825e-2f4221e641b6_测试数据.xlsx
2026-01-17 14:27:59.598 | INFO     | app.services.ingest.service:_align_columns_with_llm:123 - Aligning columns for sheet Sheet1 with LLM...
2026-01-17 14:28:00.836 | INFO     | app.services.ingest.service:_align_columns_with_llm:131 - Column mapping received: {'测试用例编号': 'case_name', '模块名称': 'remark', '用例说明': 'case_name', '执行步骤': 'steps', '新加成功执行步骤': 'steps', '输入数据': 'precondition', '测试结果': 'test_result'}
2026-01-17 14:28:00.837 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for case_name: 测试用例编号 vs 用例说明. Keeping 测试用例编号
2026-01-17 14:28:00.837 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for steps: 执行步骤 vs 新加成功执行步骤. Keeping 执行步骤
2026-01-17 14:28:00.838 | INFO     | app.services.ingest.service:_normalize_results_with_llm:192 - Normalizing results with LLM for values: ['成功', '失败', '跳过', '阻塞']
2026-01-17 14:28:01.982 | INFO     | app.services.ingest.service:_normalize_results_with_llm:198 - Result mapping received: {'成功': 'Pass', '失败': 'Fail', '跳过': 'Skipped', '阻塞': 'Blocked'}
2026-01-17 14:28:01.988 | INFO     | app.services.ingest.service:parse_excel:37 - Parsed 107 cases from uploads\05b28105-494e-4ed5-825e-2f4221e641b6_测试数据.xlsx
2026-01-17 14:28:01.997 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:16 - Starting concurrent module tagging for 107 cases...
2026-01-17 14:28:08.746 | INFO     | app.services.ingest.tagging:tag_cases_concurrently:24 - Module tagging completed.
2026-01-17 14:28:09.088 | INFO     | app.services.audit.auditor:audit_cases_concurrently:20 - Starting concurrent result audit for 59 passed cases...
2026-01-17 14:28:50.661 | INFO     | app.services.audit.auditor:audit_cases_concurrently:28 - Result audit completed.
2026-01-17 14:28:50.662 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:15 - Extracting defects for 47 cases concurrently...
2026-01-17 14:29:07.037 | INFO     | app.services.defects.extractor:extract_defect_facts_concurrently:22 - Extracted 47 defects.
2026-01-17 14:34:53.334 | INFO     | app.services.ingest.service:parse_excel:13 - Parsing Excel file: uploads\e9106980-6a21-40c6-9868-78270126cac8_测试数据.xlsx
2026-01-17 14:34:53.551 | INFO     | app.services.ingest.service:_align_columns_with_llm:123 - Aligning columns for sheet Sheet1 with LLM...
2026-01-17 14:34:54.639 | INFO     | app.services.ingest.service:_align_columns_with_llm:131 - Column mapping received: {'测试用例编号': 'case_name', '模块名称': 'remark', '用例说明': 'case_name', '执行步骤': 'steps', '新加成功执行步骤': 'steps', '输入数据': 'precondition', '测试结果': 'test_result'}
2026-01-17 14:34:54.639 | WARNING  | app.services.ingest.service:_align_columns_with_llm:144 - Duplicate mapping for case_name: 测试用例编号 vs 用例说明. Keeping 测试用例编号
